,precision,recall,f1-score,support
glioma,0.9233870967741935,0.8807692307692307,0.9015748031496063,260.0
meningioma,0.8693693693693694,0.7909836065573771,0.8283261802575107,244.0
notumor,0.95,0.9466192170818505,0.948306595365419,281.0
pituitary,0.8697183098591549,0.9919678714859438,0.926829268292683,249.0
accuracy,0.9042553191489362,0.9042553191489362,0.9042553191489362,0.9042553191489362
macro avg,0.9031186940006795,0.9025849814736004,0.9012592117663046,1034.0
weighted avg,0.90494838534076,0.9042553191489362,0.903071255226587,1034.0
