,precision,recall,f1-score,support
glioma,0.9834710743801653,0.9153846153846154,0.9482071713147411,260.0
meningioma,0.9180327868852459,0.9180327868852459,0.9180327868852459,244.0
notumor,0.9713261648745519,0.9644128113879004,0.9678571428571429,281.0
pituitary,0.9219330855018587,0.9959839357429718,0.9575289575289575,249.0
accuracy,0.9487427466150871,0.9487427466150871,0.9487427466150871,0.9487427466150871
macro avg,0.9486907779104555,0.9484535373501833,0.9479065146465219,1034.0
weighted avg,0.9499095454144632,0.9487427466150871,0.9486715977847198,1034.0
