,precision,recall,f1-score,support
glioma,0.9578059071729957,0.8730769230769231,0.9134808853118712,260.0
meningioma,0.8503937007874016,0.8852459016393442,0.8674698795180723,244.0
notumor,0.9612676056338029,0.9715302491103203,0.9663716814159292,281.0
pituitary,0.9459459459459459,0.9839357429718876,0.9645669291338582,249.0
accuracy,0.9294003868471954,0.9294003868471954,0.9294003868471954,0.9294003868471954
macro avg,0.9288532898850366,0.9284472041996188,0.9279723438449328,1034.0
weighted avg,0.9305438458227698,0.9294003868471954,0.929299118583852,1034.0
